Epoch: 141 | mean loss: -4437.33203 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 142 | mean loss: -4463.92871 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 143 | mean loss: -4524.90723 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 144 | mean loss: -4537.42871 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 145 | mean loss: -4575.62256 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 146 | mean loss: -4613.88379 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 147 | mean loss: -4611.17773 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 148 | mean loss: -4639.34766 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 149 | mean loss: -4620.01953 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 150 | mean loss: -4717.71533 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 151 | mean loss: -4751.70068 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 152 | mean loss: -4757.57959 | total acc: 0.12500 | total recall: 0.00327 | total f1 scroe: 0.00637
Epoch: 153 | mean loss: -4848.77002 | total acc: 0.06667 | total recall: 0.00321 | total f1 scroe: 0.00612
Epoch: 154 | mean loss: -4829.97803 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 155 | mean loss: -4893.05811 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 156 | mean loss: -4948.59277 | total acc: 0.10000 | total recall: 0.00322 | total f1 scroe: 0.00623
Epoch: 157 | mean loss: -4981.07275 | total acc: 0.11111 | total recall: 0.00325 | total f1 scroe: 0.00631
Epoch: 158 | mean loss: -4976.38477 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 159 | mean loss: -5025.73584 | total acc: 0.04545 | total recall: 0.00333 | total f1 scroe: 0.00621
Epoch: 160 | mean loss: -5040.84863 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 161 | mean loss: -5054.17725 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 162 | mean loss: -5102.94287 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 163 | mean loss: -5123.05469 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 164 | mean loss: -5170.67676 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 165 | mean loss: -5168.78467 | total acc: 0.09091 | total recall: 0.00330 | total f1 scroe: 0.00637
Epoch: 166 | mean loss: -5250.77441 | total acc: 0.14286 | total recall: 0.00325 | total f1 scroe: 0.00635
Epoch: 167 | mean loss: -5274.69873 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 168 | mean loss: -5312.54199 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 169 | mean loss: -5320.51709 | total acc: 0.06667 | total recall: 0.00324 | total f1 scroe: 0.00617
Epoch: 170 | mean loss: -5378.56152 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 171 | mean loss: -5391.61475 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 172 | mean loss: -5445.13525 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 173 | mean loss: -5422.32080 | total acc: 0.05882 | total recall: 0.00654 | total f1 scroe: 0.01176
Epoch: 174 | mean loss: -5479.58154 | total acc: 0.07500 | total recall: 0.00968 | total f1 scroe: 0.01714
Epoch: 175 | mean loss: -5494.38818 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 176 | mean loss: -5571.64014 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 177 | mean loss: -5577.13623 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 178 | mean loss: -5578.70215 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 179 | mean loss: -5660.14014 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 180 | mean loss: -5700.80322 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
