Epoch: 177 | mean loss: -5720.77002 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 178 | mean loss: -5744.97705 | total acc: 0.03448 | total recall: 0.00160 | total f1 scroe: 0.00306
Epoch: 179 | mean loss: -5790.76416 | total acc: 0.02857 | total recall: 0.00160 | total f1 scroe: 0.00303
Epoch: 180 | mean loss: -5810.94629 | total acc: 0.02703 | total recall: 0.00160 | total f1 scroe: 0.00302
Epoch: 181 | mean loss: -5836.69922 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 182 | mean loss: -5880.51025 | total acc: 0.02817 | total recall: 0.00160 | total f1 scroe: 0.00303
Epoch: 183 | mean loss: -5923.83740 | total acc: 0.04444 | total recall: 0.00160 | total f1 scroe: 0.00309
Epoch: 184 | mean loss: -5948.60205 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 185 | mean loss: -5997.91943 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 186 | mean loss: -6016.91943 | total acc: 0.01515 | total recall: 0.00080 | total f1 scroe: 0.00152
Epoch: 187 | mean loss: -6057.18115 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 188 | mean loss: -6096.77930 | total acc: 0.08333 | total recall: 0.00400 | total f1 scroe: 0.00764
Epoch: 189 | mean loss: -6116.14014 | total acc: 0.03448 | total recall: 0.00080 | total f1 scroe: 0.00156
Epoch: 190 | mean loss: -6144.28809 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 191 | mean loss: -6205.03809 | total acc: 0.02326 | total recall: 0.00080 | total f1 scroe: 0.00155
Epoch: 192 | mean loss: -6219.26611 | total acc: 0.01818 | total recall: 0.00080 | total f1 scroe: 0.00153
Epoch: 193 | mean loss: -6250.08350 | total acc: 0.01754 | total recall: 0.00080 | total f1 scroe: 0.00153
Epoch: 194 | mean loss: -6256.90332 | total acc: 0.01429 | total recall: 0.00080 | total f1 scroe: 0.00152
Epoch: 195 | mean loss: -6312.85547 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 196 | mean loss: -6338.41992 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 197 | mean loss: -6374.93701 | total acc: 0.02000 | total recall: 0.00080 | total f1 scroe: 0.00154
Epoch: 198 | mean loss: -6395.04980 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 199 | mean loss: -6445.56738 | total acc: 0.04000 | total recall: 0.00160 | total f1 scroe: 0.00308
